,category,headline
718,POLITICS,continue back conspicuous tweet chief staff say
719,POLITICS,already struggle farm stand lose trump trade agenda
720,POLITICS,let focus help christian syrian refugee rather muslim
721,POLITICS,know director wrong
722,POLITICS,say get raw deal
723,POLITICS,actually happen
724,POLITICS,director resign month job
725,POLITICS,foreshadow big constitutional ruling immigration case
726,POLITICS,resign
727,POLITICS,still back say trump keep country safe
728,POLITICS,top senator say confident trump foreign policy
729,POLITICS,thing
730,POLITICS,former press secretary advice sean spicer
731,POLITICS,executive order immigration
732,POLITICS,russian candidate
733,POLITICS,democratic senator say refuse meet
734,POLITICS,conservative group raise cash help senator block nominee
735,POLITICS,big criminal justice experiment take place
736,POLITICS,sup ad suggest support deal blow world
737,POLITICS,candidate trick
738,POLITICS,big help cause opioid epidemic fight back
739,POLITICS,suggest would roll marriage equality
740,POLITICS,dear break bank hard
741,POLITICS,year cut city state hire
742,POLITICS,photo show make final campaign stop
743,POLITICS,push fold plan parenthood panel shooting
744,POLITICS,fight reclaim border soul
745,POLITICS,prevent veteran suicide cost war
746,POLITICS,less third public support new bill
747,POLITICS,rise young cuban say future
748,POLITICS,boy braided hair violate code mom switch school
749,POLITICS,shopper administration promise
750,POLITICS,carly performance first debate
751,POLITICS,temperament could explain abysmal poll number
752,POLITICS,say strong criticize approach
753,POLITICS,plan new abortion push
754,POLITICS,congressman change position abortion talk woman
755,POLITICS,plot way fight net neutrality rule
756,POLITICS,shuffle struggle campaign team
757,POLITICS,trump leave fellow squirming
758,POLITICS,respond double dishonesty
759,POLITICS,people perpetuate
760,POLITICS,voter back landmark campaign finance reform
761,POLITICS,follow allegation sexual misconduct
762,POLITICS,adult conversation prayer moment silence
763,POLITICS,people literally take promise literally
764,POLITICS,ask sander supporter unity
765,POLITICS,podcast mass shoot next house speaker
766,POLITICS,fail say
767,POLITICS,say tear deal would folly
768,POLITICS,move school massacre
769,POLITICS,approve law let people carry gun bar public college
770,POLITICS,learn
771,POLITICS,reporter arrest
772,POLITICS,gutte pay effort
773,POLITICS,fire brace newly homeless student
774,POLITICS,trump ally reportedly plan defend dig dirt reporter
775,POLITICS,let love arise
776,POLITICS,leader offer make obamacare repeal bill slightly less awful
777,POLITICS,threaten cut funding derail negotiation
778,POLITICS,democracy capitalism may head divorce
779,POLITICS,people business business
780,POLITICS,admit push private bill
781,POLITICS,force extreme policy
782,POLITICS,remind president fight
783,POLITICS,sander rip trump selection hhs secretary
784,POLITICS,reminder right wing owe
785,POLITICS,sit gun control legislation
786,POLITICS,woman laugh session could face jail time week
787,POLITICS,birther
788,POLITICS,state park find new way save make money
789,POLITICS,good thing could hillary_clinton
790,POLITICS,agent internet agree fed call terrorism
791,POLITICS,run daunt task establishment
792,POLITICS,border agent detain teacher kid refuse claim citizenship
793,POLITICS,make best pretty awkward situation convention
794,POLITICS,speak missile launch
795,POLITICS,agent
796,POLITICS,vote voter law
797,POLITICS,show matter prospect
798,POLITICS,could win contested convention
799,POLITICS,get personal
800,POLITICS,good girl abortion naral chief tell dnc
801,POLITICS,interest transparency maher would like
802,POLITICS,federal order return iranian deport trump ban
803,POLITICS,make face day
804,POLITICS,condemn order target muslim chaotic weekend
805,POLITICS,say kid sander want let bern
806,POLITICS,peace come say
807,POLITICS,father end violence well day start
808,POLITICS,call fall soldier artist
809,POLITICS,struggle defend reparation stance black voter
810,POLITICS,show ignore calamitous global warming report
811,POLITICS,nearly former staffer sign oppose
812,POLITICS,think medium want trump fail
813,POLITICS,finally speak domestic violence wake porter scandal
814,POLITICS,appeal court deal ban target
815,POLITICS,state work help people disability find work
816,POLITICS,sure seem eclipse claim care
817,POLITICS,use arcane tool handcuff federal agency
818,POLITICS,fertile ground extremism
819,POLITICS,sexually harass woman country right
820,POLITICS,define white supremacist
821,POLITICS,allege sexual abuse high school coach
822,POLITICS,force doctor tell woman abortion reversible
823,POLITICS,trump sharp stately heap mockery
824,POLITICS,hispanic fear dhs head turn blind eye agent bad conduct
825,POLITICS,nail voter suppression complaint democratic coalition
826,POLITICS,go joke
827,POLITICS,want treat big pharma big tobacco
828,POLITICS,hack try take world
829,POLITICS,wife file divorce pregnant report say
830,POLITICS,try reason right
831,POLITICS,slam support social security cut
832,POLITICS,
833,POLITICS,trump effect positive attitude hate
834,POLITICS,murder would stand let shoot
835,POLITICS,close asbestos incident
836,POLITICS,month trump story change mind email
837,POLITICS,sentence brock
838,POLITICS,
839,POLITICS,ally take moral lead human right trump fall short
840,POLITICS,care transgender troop negligible cost transition relate care
841,POLITICS,inevitable
842,POLITICS,must give testimony restaurant suit rule
843,POLITICS,money bolster populist shift
844,POLITICS,elect first female
845,POLITICS,sander protest finger live tv
846,POLITICS,fault bomb
847,POLITICS,trump plan kill obama regulation protect restaurant server
848,POLITICS,tweeter take hard
849,POLITICS,
850,POLITICS,wily plan keep learn trump cabinet pick
851,POLITICS,hope give strong medicine
852,POLITICS,win
853,POLITICS,apparently
854,POLITICS,live detain week due error immigration officer
855,POLITICS,trump vow stay race lewd remark surface
856,POLITICS,
857,POLITICS,undocumented immigrant call call
858,POLITICS,job go get lousy severance
859,POLITICS,lock
860,POLITICS,president recent history gain approval time office
861,POLITICS,earth kick politic
862,POLITICS,station
863,POLITICS,urge veto bill allow internet provider sell datum
864,POLITICS,meeting facebook target cyberbullye people beside
865,POLITICS,prepare make win
866,POLITICS,sue sanctuary city order
867,POLITICS,exclusive transgender student abandon
868,POLITICS,fire explain fail
869,POLITICS,say trump nomination
870,POLITICS,implosion campaign save
871,POLITICS,stand
872,POLITICS,
873,POLITICS,empire come home
874,POLITICS,pass bill let victim family sue
875,POLITICS,attack press stalinist
876,POLITICS,gardner candidate race
877,POLITICS,campaign insist fine
878,POLITICS,art foreign policy bluffing
879,POLITICS,conservative find
880,POLITICS,family promise finally receive check mail
881,POLITICS,dinner
882,POLITICS,mosque actually great deterrent violent extremism
883,POLITICS,double dystopia
884,POLITICS,trump reportedly wonder pretty korean lady handle
885,POLITICS,back wrong candidate
886,POLITICS,safeguard future science
887,POLITICS,go away
888,POLITICS,unlikely ally fight keep job leave
889,POLITICS,say proposal properly vet yet
890,POLITICS,need shake next generation get fair shake
891,POLITICS,back
892,POLITICS,bannon
893,POLITICS,gun proponent interested fact science
894,POLITICS,trump repeat failure denounce white supremacist
895,POLITICS,game criticism
896,POLITICS,try may trump struggle spin government spending bill victory
897,POLITICS,expect give
898,POLITICS,union guest send trump message
899,POLITICS,admit legal keep prosecute user
900,POLITICS,release partial tax return past
901,POLITICS,people enrol obamacare plan
902,POLITICS,honor outdoors policy ruin
903,POLITICS,
904,POLITICS,say could term bill pass
905,POLITICS,flint resident come await confrontation
906,POLITICS,protect planned parenthood funding permanently
907,POLITICS,health bill people color
908,POLITICS,
909,POLITICS,trump fail correct questioner
910,POLITICS,fire compare
911,POLITICS,future negotiation hang balance trade minister meet
912,POLITICS,buck pass bill let victim sue
913,POLITICS,good wall make good neighbor
914,POLITICS,candidate set pay kid marry white people
915,POLITICS,charge guard shoot killing inmate
916,POLITICS,
917,POLITICS,people still protest
918,POLITICS,
919,POLITICS,remove
920,POLITICS,insurance executive blast proposal terrible
921,POLITICS,call totally hypocritical
922,POLITICS,trump vow back partnership effectively kill
923,POLITICS,net neutrality get live day court rehear case
924,POLITICS,trump show receptiveness agenda actually mean
925,POLITICS,bernie_sander plan back major trump campaign promise
926,POLITICS,say
927,POLITICS,must recognize sex parent child birth certificate
928,POLITICS,aide urge move flint system report
929,POLITICS,downplay email scandal
930,POLITICS,show lead
931,POLITICS,remind pilgrim refugee
932,POLITICS,climate deal
933,POLITICS,watch give canned answer time row
934,POLITICS,black infant death point flaw system
935,POLITICS,daughter brutality coma
936,POLITICS,old religious institution afraid
937,POLITICS,defend visceral response trump firing comey
938,POLITICS,network trump great sucker
939,POLITICS,dance storm nephew wedding
940,POLITICS,struggle talking point machine
941,POLITICS,
942,POLITICS,trump facebook executive fake rant russian indictment
943,POLITICS,billionaire craft trumponomic
944,POLITICS,simply islamophobic campaign
945,POLITICS,
946,POLITICS,scramble seat territory
947,POLITICS,supreme_court decline put gay marriage hold
948,POLITICS,cost family upwards year
949,POLITICS,message loud supporter
950,POLITICS,potential say need
951,POLITICS,stick
952,POLITICS,keep democratic matter
953,POLITICS,trump announce decision global climate deal
954,POLITICS,pray
955,POLITICS,may last
956,POLITICS,applaud couple refuse host sex wedding
957,POLITICS,lay groundwork sexual assault survivor speak
958,POLITICS,immigration official launch large scale deportation raid
959,POLITICS,say safe act
960,POLITICS,recruit former aide lead regulation
961,POLITICS,flip seat district vote
962,POLITICS,child call immigration stance live british tv
963,POLITICS,citizen
964,POLITICS,strategy backfire debate
965,POLITICS,poll show many agree woman man pay
966,POLITICS,reveal humorous plan attention
967,POLITICS,big soda spend million unethical area ad fight drink taxis
968,POLITICS,final solution caveat emptor
969,POLITICS,speech
970,POLITICS,suggest back strict net neutrality rule
971,POLITICS,look poise pass major overhaul chemical law
972,POLITICS,team
973,POLITICS,reaction testimony show confirmation bias
974,POLITICS,bernie_sander introduce legislation end private prison
975,TECH,ice cream sandwich update htc delay
976,TECH,may first video iphone
977,TECH,look go space
978,TECH,show disclose datum digital democracy
979,TECH,face grow pressure restrict speech online
980,TECH,top tough tech gadget photo
981,TECH,want get single iphone
982,TECH,twitter plan go character limit
983,TECH,watch owner desperate convert side
984,TECH,get new trick make home smart
985,TECH,bombing accidentally go worldwide
986,TECH,surprising household item invade privacy
987,TECH,kill vine hate fun
988,TECH,victim facebook help hand
989,TECH,window run device
990,TECH,printer produce paper
991,TECH,tour nightline tease facility video
992,TECH,pay homage french photographer video
993,TECH,leave device risk
994,TECH,terrible truth gadget die
995,TECH,battle abuse
996,TECH,release keep kosher
997,TECH,give birth identical twin girl
998,TECH,hack email
999,TECH,minecraft launch virtual reality edition
1000,TECH,twitter warn user change password find bug
1001,TECH,sound skeptical work
1002,TECH,admit edit user comment criticize
1003,TECH,lawsuit apple target additional product
1004,TECH,surface pro battery life approximately half power surface sound truly terrible
1005,TECH,deal
1006,TECH,may future porn industry
1007,TECH,dark side digital age
1008,TECH,tip trick know possible
1009,TECH,surprising number would chop finger stay online
1010,TECH,ant star
1011,TECH,privacy suit file path twitter apple facebook
1012,TECH,predict commercial winner announcement
1013,TECH,gender divide woman likely man blog profile
1014,TECH,watch major problem date app
1015,TECH,hack company fight controversial move retaliation
1016,TECH,pay discover major bug
